Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
325,Vasilije Micić\micicva01,31,CHO,PG,36,16,764,95,273,0.348,45,125,0.36,50,148,0.338,0.43,34,41,0.829,20,67,87,127,15,0,74,44,269
325,Vasilije Micić\micicva01,31,PHO,PG,5,0,21,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,3,1,0
326,Lonzo Ball\balllo01,27,CHI,PG,35,14,777,89,243,0.366,67,195,0.344,22,48,0.458,0.504,22,27,0.815,25,93,118,115,47,17,41,55,267
327,Tosan Evbuomwan\evbuoto01,23,BRK,SF,28,0,665,94,220,0.427,24,77,0.312,70,143,0.49,0.482,55,73,0.753,32,88,120,55,24,10,39,55,267
328,Jett Howard\howarje01,21,ORL,SF,60,0,701,98,262,0.374,55,186,0.296,43,76,0.566,0.479,16,23,0.696,20,50,70,44,13,11,36,68,267
329,Eric Gordon\gordoer01,36,PHI,SG,39,13,768,87,204,0.426,56,137,0.409,31,67,0.463,0.564,36,48,0.75,8,38,46,65,26,12,28,32,266
330,Lindy Waters III\waterli01,27,2TM,SG,52,9,778,92,249,0.369,64,186,0.344,28,63,0.444,0.498,8,11,0.727,20,90,110,52,27,11,20,62,256
330,Lindy Waters III\waterli01,27,GSW,SG,38,9,655,76,205,0.371,49,148,0.331,27,57,0.474,0.49,8,11,0.727,16,80,96,42,22,10,17,55,209
330,Lindy Waters III\waterli01,27,DET,SG,14,0,123,16,44,0.364,15,38,0.395,1,6,0.167,0.534,0,0,,4,10,14,10,5,1,3,7,47
331,Ben Simmons\simmobe01,28,2TM,PG,51,24,1120,116,223,0.52,0,0,,116,223,0.52,0.52,24,33,0.727,47,194,241,285,38,23,102,107,256
331,Ben Simmons\simmobe01,28,BRK,PG,33,24,825,93,170,0.547,0,0,,93,170,0.547,0.547,18,26,0.692,30,142,172,229,26,16,88,81,204
331,Ben Simmons\simmobe01,28,LAC,PG,18,0,295,23,53,0.434,0,0,,23,53,0.434,0.434,6,7,0.857,17,52,69,56,12,7,14,26,52
332,Oso Ighodaro\ighodos01,22,PHO,PF,61,6,1045,113,187,0.604,0,2,0.0,113,185,0.611,0.604,29,50,0.58,66,156,222,71,28,29,39,102,255
333,Pelle Larsson\larsspe01,23,MIA,SG,55,8,782,89,203,0.438,32,95,0.337,57,108,0.528,0.517,41,61,0.672,28,64,92,65,32,7,24,91,251
334,Lonnie Walker IV\walkelo01,26,PHI,SG,20,7,477,89,212,0.42,45,127,0.354,44,85,0.518,0.526,24,30,0.8,6,57,63,50,10,5,25,27,247
335,Bol Bol\bolbo01,25,PHO,PF,36,10,448,96,183,0.525,32,93,0.344,64,90,0.711,0.612,20,26,0.769,20,84,104,22,9,25,20,20,244
336,Caleb Houstan\houstca01,22,ORL,SF,58,6,788,80,190,0.421,64,160,0.4,16,30,0.533,0.589,15,17,0.882,19,56,75,35,22,6,13,62,239
337,A.J. Lawson\lawsoaj01,24,TOR,SG,26,2,486,80,190,0.421,33,101,0.327,47,89,0.528,0.508,43,63,0.683,20,66,86,31,13,6,15,44,236
338,Malaki Branham\branhma01,21,SAS,SG,47,0,427,87,190,0.458,34,84,0.405,53,106,0.5,0.547,27,33,0.818,7,44,51,38,11,2,34,29,235
339,Ajay Mitchell\mitchaj01,22,OKC,SG,36,1,597,91,184,0.495,23,60,0.383,68,124,0.548,0.557,29,35,0.829,18,50,68,64,25,4,29,68,234
340,Monte Morris\morrimo01,29,PHO,PG,45,0,571,83,195,0.426,31,86,0.36,52,109,0.477,0.505,36,42,0.857,12,55,67,73,20,3,21,23,233
341,Richaun Holmes\holmeri01,31,WAS,PF,31,7,534,90,139,0.647,0,3,0.0,90,136,0.662,0.647,50,60,0.833,62,115,177,42,9,23,21,49,230
342,Andre Jackson Jr.\jacksan01,23,MIL,SG,67,43,980,94,197,0.477,30,76,0.395,64,121,0.529,0.553,12,24,0.5,65,117,182,83,34,14,58,114,230
343,Cody Williams\willico04,20,UTA,SG,50,21,1060,83,257,0.323,35,135,0.259,48,122,0.393,0.391,29,40,0.725,27,86,113,59,23,16,44,95,230
344,Reed Sheppard\sheppre01,20,HOU,PG,52,3,654,84,239,0.351,48,142,0.338,36,97,0.371,0.452,13,16,0.813,16,62,78,75,35,17,37,53,229
345,Gui Santos\santogu01,22,GSW,PF,56,2,762,82,179,0.458,34,103,0.33,48,76,0.632,0.553,29,42,0.69,72,100,172,80,25,10,42,91,227
346,Steven Adams\adamsst01,31,HOU,C,58,3,794,91,167,0.545,0,2,0.0,91,165,0.552,0.545,43,93,0.462,166,161,327,66,22,28,54,60,225
347,AJ Johnson\johnsaj01,20,2TM,SG,29,11,639,82,213,0.385,24,90,0.267,58,123,0.472,0.441,32,37,0.865,8,51,59,76,12,3,35,50,220
347,AJ Johnson\johnsaj01,20,MIL,SG,7,0,44,8,19,0.421,3,5,0.6,5,14,0.357,0.5,1,2,0.5,0,7,7,7,1,0,4,0,20
347,AJ Johnson\johnsaj01,20,WAS,SG,22,11,595,74,194,0.381,21,85,0.247,53,109,0.486,0.436,31,35,0.886,8,44,52,69,11,3,31,50,200
348,Rob Dillingham\dilliro01,20,MIN,PG,49,1,516,93,211,0.441,25,74,0.338,68,137,0.496,0.5,8,15,0.533,12,38,50,98,20,1,53,37,219
349,Blake Wesley\weslebl01,21,SAS,SG,58,0,683,81,186,0.435,17,58,0.293,64,128,0.5,0.481,38,61,0.623,17,44,61,114,37,6,54,46,217
350,Pat Connaughton\connapa01,32,MIL,SG,41,1,603,83,177,0.469,26,81,0.321,57,96,0.594,0.542,24,31,0.774,19,90,109,70,9,11,24,45,216
351,GG Jackson II\jacksgg01,20,MEM,PF,29,3,459,74,199,0.372,32,95,0.337,42,104,0.404,0.452,29,40,0.725,27,65,92,29,12,5,31,30,209
