Seed,Team,Record
1,Milwaukee Bucks,58-24
2,Boston Celtics,57-25
3,Philadelphia 76ers,54-28
4,Denver Nuggets,53-29
5,Cleveland Cavaliers,51-31
6,Memphis Grizzlies,51-31
7,Sacramento Kings,48-34
8,New York Knicks,47-35
9,Brooklyn Nets,45-37
10,Phoenix Suns,45-37
11,Golden State Warriors,44-38
12,Los Angeles Clippers,44-38
13,Miami Heat,44-38
14,Los Angeles Lakers,43-39
15,Minnesota Timberwolves,42-40
16,New Orleans Pelicans,42-40
17,Atlanta Hawks,41-41
18,Toronto Raptors,41-41
19,Chicago Bulls,40-42
20,Oklahoma City Thunder,40-42
21,Dallas Mavericks,38-44
22,Utah Jazz,37-45
23,Indiana Pacers,35-47
24,Washington Wizards,35-47
25,Orlando Magic,34-48
26,Portland Trail Blazers,33-49
27,Charlotte Hornets,27-55
28,Houston Rockets,22-60
29,San Antonio Spurs,22-60
30,Detroit Pistons,17-65
