Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
215,De'Andre Hunter\huntede01,SF,26,ATL,24,24,30.3,5.1,11.0,0.46,1.9,4.8,0.404,3.2,6.3,0.503,0.547,2.8,3.1,0.907,0.6,3.5,4.1,1.4,0.8,0.4,1.5,3.0,14.9
216,Bones Hyland\hylanbo01,PG,23,LAC,16,2,14.6,2.6,6.7,0.393,1.3,3.4,0.364,1.4,3.3,0.423,0.486,0.6,0.8,0.833,0.1,0.8,0.9,1.8,0.5,0.1,1.3,1.4,7.1
217,Joe Ingles\inglejo01,SF,36,ORL,29,0,18.5,1.7,4.2,0.407,1.1,2.7,0.41,0.6,1.6,0.4,0.537,0.6,0.7,0.85,0.4,2.2,2.6,3.5,0.8,0.1,1.0,1.6,5.1
218,Brandon Ingram\ingrabr01,SF,26,NOP,39,39,33.2,7.9,16.2,0.488,1.4,3.9,0.357,6.5,12.3,0.53,0.532,4.2,5.2,0.812,0.6,4.2,4.8,5.7,0.8,0.4,2.4,2.3,21.5
219,Kyrie Irving\irvinky01,SG,31,DAL,26,26,33.2,9.3,19.6,0.473,2.9,7.0,0.41,6.4,12.6,0.508,0.546,3.8,4.3,0.893,0.8,4.2,5.0,5.4,1.3,0.5,1.7,1.8,25.3
220,Jonathan Isaac\isaacjo01,PF,26,ORL,26,0,13.5,2.2,4.7,0.455,0.6,2.0,0.283,1.6,2.7,0.586,0.516,1.3,1.6,0.786,1.1,2.8,3.9,0.4,0.8,1.1,0.5,1.2,6.2
221,Jaden Ivey\iveyja01,SG,21,DET,38,22,26.4,5.0,11.0,0.456,1.3,4.1,0.318,3.7,7.0,0.536,0.514,3.0,4.1,0.726,1.3,2.5,3.8,3.7,0.8,0.6,2.3,2.8,14.3
222,Andre Jackson Jr.\jacksan01,SG,22,MIL,36,8,11.4,1.1,2.0,0.534,0.4,0.9,0.382,0.7,1.1,0.667,0.623,0.2,0.2,0.857,1.0,1.3,2.3,1.0,0.3,0.1,0.5,1.9,2.7
223,Gregory Jackson II\jacksgg01,PF,19,MEM,10,0,11.5,2.1,4.6,0.457,1.1,2.3,0.478,1.0,2.3,0.435,0.576,1.3,1.9,0.684,0.9,1.5,2.4,0.3,0.3,0.5,0.6,1.0,6.6
224,Isaiah Jackson\jacksis01,C,22,IND,33,1,13.8,2.8,4.2,0.676,0.0,0.1,0.0,2.8,4.2,0.686,0.676,1.3,1.9,0.694,1.5,2.7,4.2,0.9,0.7,1.2,0.7,2.8,7.0
225,Jaren Jackson Jr.\jacksja02,C,24,MEM,40,40,31.5,7.4,16.2,0.454,1.8,5.4,0.332,5.6,10.8,0.516,0.51,5.2,6.2,0.838,1.3,4.4,5.7,1.8,0.9,1.7,2.0,3.5,21.7
226,Reggie Jackson\jacksre01,PG,33,DEN,44,14,23.1,4.5,9.7,0.468,1.4,3.6,0.381,3.1,6.0,0.521,0.54,1.0,1.3,0.75,0.4,1.7,2.0,4.2,0.6,0.2,1.5,1.8,11.4
227,Trayce Jackson-Davis\jackstr02,PF,23,GSW,30,3,14.4,2.9,4.3,0.688,0.0,0.0,,2.9,4.3,0.688,0.688,1.1,1.8,0.618,1.7,2.6,4.3,1.0,0.4,0.8,0.8,1.7,7.0
