Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
445,Nick Smith Jr.\smithni01,SG,19,CHO,25,376,8.9,0.527,0.487,0.026,3.9,8.8,6.2,10.6,0.4,1.7,12.5,20.2,,-0.2,0.0,-0.2,-0.032,,-2.3,-2.8,-5.1,-0.3
446,Terquavion Smith\smithte01,PG,21,PHI,2,2,115.4,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.6,,0.1,0.0,0.1,2.359,,81.9,13.6,95.5,0.1
447,Jeremy Sochan\sochaje01,PF,20,SAS,42,1236,11.2,0.523,0.266,0.204,5.7,15.1,10.3,18.7,1.2,1.3,15.0,18.3,,-0.1,0.7,0.6,0.024,,-2.6,-1.0,-3.6,-0.5
448,Jaden Springer\sprinja01,SG,21,PHI,24,237,7.6,0.424,0.325,0.234,8.5,6.9,7.7,12.2,2.7,3.3,17.5,18.5,,-0.4,0.4,0.0,-0.005,,-5.8,0.5,-5.3,-0.2
449,Lamar Stevens\stevela01,PF,26,BOS,16,103,12.3,0.506,0.206,0.235,8.6,14.9,11.9,7.9,2.8,4.3,15.7,18.6,,0.0,0.2,0.2,0.076,,-4.2,1.6,-2.6,0.0
450,Isaiah Stewart\stewais01,PF,22,DET,31,950,10.4,0.573,0.437,0.198,6.6,19.0,12.6,7.8,0.5,1.9,14.9,15.1,,0.3,0.3,0.5,0.027,,-2.1,-1.3,-3.4,-0.3
451,Julian Strawther\strawju01,SF,21,DEN,33,458,9.3,0.5,0.622,0.124,1.0,10.7,6.0,10.2,1.7,1.1,7.1,19.9,,-0.1,0.5,0.3,0.035,,-3.8,-1.0,-4.8,-0.3
452,Max Strus\strusma01,SF,27,CLE,40,1327,10.7,0.531,0.663,0.114,2.5,13.7,8.2,15.6,1.3,1.5,11.9,17.9,,0.3,1.8,2.1,0.077,,-1.7,0.8,-0.9,0.4
453,Jalen Suggs\suggsja01,SG,22,ORL,39,1043,13.3,0.584,0.511,0.222,3.1,11.4,7.2,13.3,2.4,2.3,14.9,21.0,,0.3,1.6,1.9,0.087,,-1.2,1.4,0.1,0.6
454,Cole Swider\swideco01,SF,24,MIA,8,38,14.5,0.605,0.737,0.0,3.0,3.0,3.0,13.5,1.3,2.6,13.6,25.5,,0.0,0.0,0.0,0.032,,3.9,-0.3,3.5,0.1
455,Jae'Sean Tate\tateja01,SF,28,HOU,40,745,9.7,0.556,0.394,0.181,6.1,13.9,10.0,7.9,1.8,1.1,9.2,10.7,,0.6,1.0,1.6,0.105,,-3.5,1.7,-1.8,0.0
456,Jayson Tatum\tatumja01,PF,25,BOS,40,1433,21.2,0.596,0.431,0.36,2.8,21.2,12.3,19.4,1.3,1.2,10.4,29.9,,2.8,2.3,5.1,0.171,,3.8,0.7,4.5,2.3
457,Terry Taylor\taylote01,PF,24,CHI,16,108,9.4,0.602,0.227,0.045,12.0,8.4,10.3,5.1,1.4,1.9,23.8,12.0,,0.0,0.1,0.1,0.052,,-4.4,0.1,-4.3,-0.1
458,Garrett Temple\templga01,SG,37,TOR,11,45,15.6,0.61,0.385,0.308,7.2,12.6,9.8,17.5,2.2,0.0,11.9,15.9,,0.1,0.0,0.1,0.137,,0.4,0.0,0.4,0.0
459,Dalen Terry\terryda01,SG,21,CHI,28,282,7.6,0.486,0.596,0.351,3.8,15.3,9.4,15.2,1.1,2.9,19.6,12.7,,-0.1,0.3,0.2,0.033,,-4.7,0.9,-3.8,-0.1
460,Daniel Theis\theisda01,C,31,TOT,31,520,14.7,0.586,0.192,0.237,11.3,13.2,12.3,6.8,1.3,5.1,10.9,16.2,,0.7,0.6,1.4,0.127,,-1.7,0.2,-1.5,0.1
460,Daniel Theis\theisda01,C,31,IND,1,8,-6.8,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,,0.0,0.0,0.0,-0.266,,-13.2,-7.3,-20.5,0.0
460,Daniel Theis\theisda01,C,31,LAC,30,512,15.0,0.594,0.191,0.243,11.5,13.4,12.5,6.9,1.3,5.2,11.1,16.1,,0.8,0.6,1.4,0.133,,-1.5,0.3,-1.2,0.1
461,Cam Thomas\thomaca02,SG,22,BRK,33,944,14.8,0.536,0.319,0.254,0.9,8.7,4.7,13.7,0.9,1.0,7.7,30.9,,0.1,0.4,0.5,0.026,,-0.6,-2.4,-2.9,-0.2
462,Amen Thompson\thompam01,SF,21,HOU,23,377,13.3,0.513,0.248,0.364,6.6,20.4,13.6,17.0,2.8,1.8,16.1,19.1,,-0.1,0.7,0.6,0.077,,-3.0,2.4,-0.6,0.1
463,Ausar Thompson\thompau01,SF,21,DET,42,1002,12.8,0.508,0.223,0.245,10.0,22.7,16.2,11.6,1.7,3.3,13.9,17.2,,0.0,0.8,0.8,0.038,,-3.1,0.1,-3.1,-0.3
464,Klay Thompson\thompkl01,SF,33,GSW,39,1187,12.9,0.571,0.608,0.148,2.0,10.6,6.3,11.5,0.8,1.5,9.9,23.2,,0.8,0.5,1.3,0.053,,0.8,-1.9,-1.1,0.3
465,Tristan Thompson\thomptr01,PF,32,CLE,35,425,14.8,0.62,0.011,0.455,15.3,19.7,17.5,12.4,0.8,2.1,17.2,12.9,,0.7,0.6,1.3,0.148,,-1.5,0.9,-0.6,0.1
466,JT Thor\thorjt01,PF,21,CHO,34,501,6.7,0.421,0.435,0.056,7.8,13.6,10.6,3.7,0.6,2.7,5.9,11.6,,-0.2,0.1,-0.1,-0.011,,-4.6,-1.9,-6.5,-0.6
467,Matisse Thybulle\thybuma01,SF,26,POR,40,903,10.6,0.571,0.797,0.088,1.9,8.2,4.8,6.9,3.5,3.4,9.6,9.8,,0.4,1.1,1.5,0.08,,-2.4,3.2,0.8,0.6
468,Xavier Tillman Sr.\tillmxa01,C,25,MEM,29,600,11.7,0.442,0.262,0.176,8.7,16.8,12.6,12.3,2.8,4.3,11.8,16.3,,-0.5,1.0,0.5,0.042,,-3.7,1.8,-1.9,0.0
469,Jacob Toppin\toppija01,SF,23,NYK,3,4,16.8,,,,0.0,0.0,0.0,28.9,0.0,23.1,,0.0,,0.0,0.0,0.0,0.202,,5.6,6.9,12.6,0.0
470,Obi Toppin\toppiob01,PF,25,IND,43,1005,15.7,0.687,0.436,0.187,5.0,14.3,9.6,8.6,1.0,1.6,8.1,15.8,,2.3,0.4,2.6,0.126,,1.5,-1.0,0.5,0.6
471,Juan Toscano-Anderson\toscaju01,SF,30,SAC,11,53,2.5,0.292,0.333,0.0,8.3,21.8,14.9,9.0,0.9,1.7,14.3,11.2,,-0.1,0.1,0.0,-0.028,,-8.9,-0.7,-9.6,-0.1
472,Karl-Anthony Towns\townska01,PF,28,MIN,41,1349,18.9,0.632,0.314,0.314,5.5,23.8,15.3,14.9,1.1,1.4,13.9,26.4,,2.0,2.6,4.6,0.162,,1.6,1.2,2.7,1.6
473,Gary Trent Jr.\trentga02,SG,25,TOR,38,984,10.8,0.55,0.551,0.112,1.1,8.4,4.7,8.2,1.5,0.4,5.6,18.6,,0.3,0.5,0.8,0.041,,-1.6,-1.3,-2.9,-0.2
474,Oscar Tshiebwe\tshieos01,PF,24,IND,6,34,24.8,0.563,0.0,0.375,20.2,20.5,20.3,8.0,2.7,0.0,0.0,22.7,,0.1,0.0,0.2,0.217,,5.3,-2.3,3.1,0.0
475,P.J. Tucker\tuckepj01,PF,38,TOT,15,239,5.4,0.492,0.842,0.158,7.9,12.4,10.2,3.8,1.8,1.1,16.4,4.4,,0.1,0.3,0.4,0.082,,-4.3,1.0,-3.3,-0.1
475,P.J. Tucker\tuckepj01,PF,38,PHI,3,66,4.6,0.6,1.0,0.0,1.7,21.5,11.7,0.0,2.2,2.6,28.6,4.5,,0.0,0.1,0.1,0.064,,-5.2,1.3,-3.9,0.0
