Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,C,23,TOR,55,1140,15.2,0.554,0.267,0.307,9.3,24.4,16.3,6.3,1.3,2.6,11.4,19.4,,0.8,1.4,2.2,0.093,,-1.4,-0.8,-2.3,-0.1
2,Steven Adams\adamsst01,C,29,MEM,42,1133,17.5,0.564,0.004,0.49,20.1,25.3,22.7,11.2,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,0.144,,-0.3,0.9,0.6,0.7
3,Bam Adebayo\adebaba01,C,25,MIA,75,2598,20.1,0.592,0.011,0.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,,3.6,3.8,7.4,0.137,,0.8,0.8,1.5,2.3
4,Ochai Agbaji\agbajoc01,SG,22,UTA,59,1209,9.5,0.561,0.591,0.179,3.9,6.9,5.4,7.5,0.6,1.0,9.0,15.8,,0.9,0.4,1.3,0.053,,-1.7,-1.4,-3.0,-0.3
5,Santi Aldama\aldamsa01,PF,22,MEM,77,1682,13.9,0.591,0.507,0.274,5.4,18.0,11.7,7.6,1.3,2.6,9.3,16.0,,2.1,2.4,4.6,0.13,,-0.3,0.8,0.5,1.1
6,Nickeil Alexander-Walker\alexani01,SG,24,TOT,59,884,11.6,0.565,0.539,0.203,1.9,10.5,6.3,16.7,1.7,2.0,14.6,17.9,,0.3,0.8,1.1,0.062,,-1.4,0.4,-0.9,0.2
6,Nickeil Alexander-Walker\alexani01,SG,24,UTA,36,528,13.0,0.609,0.512,0.229,1.7,10.3,6.0,19.9,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,0.074,,-0.6,1.1,0.5,0.3
6,Nickeil Alexander-Walker\alexani01,SG,24,MIN,23,356,9.6,0.503,0.576,0.168,2.2,10.8,6.6,12.0,1.1,1.7,6.9,17.3,,0.0,0.3,0.3,0.044,,-2.5,-0.5,-3.0,-0.1
7,Grayson Allen\allengr01,SG,27,MIL,72,1972,12.3,0.612,0.657,0.226,3.4,9.0,6.3,10.9,1.5,0.6,10.5,14.6,,2.8,2.2,5.1,0.123,,-0.6,0.7,0.1,1.0
8,Jarrett Allen\allenja01,C,24,CLE,68,2220,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,,5.5,4.0,9.5,0.205,,1.3,1.0,2.4,2.4
9,Jose Alvarado\alvarjo01,PG,24,NOP,61,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,,0.1,1.7,1.8,0.066,,-2.0,0.7,-1.2,0.3
10,Kyle Anderson\anderky01,PF,29,MIN,69,1957,14.8,0.583,0.212,0.275,3.8,16.9,10.5,22.6,1.9,2.8,15.7,14.4,,2.5,2.6,5.1,0.125,,0.2,2.3,2.5,2.2
11,Giannis Antetokounmpo\antetgi01,PF,28,MIL,63,2024,29.0,0.605,0.134,0.604,7.3,30.0,19.1,33.2,1.2,2.1,13.2,38.8,,4.9,3.7,8.6,0.204,,5.8,2.7,8.5,5.4
12,Thanasis Antetokounmpo\antetth01,PF,30,MIL,37,206,6.7,0.458,0.174,0.478,7.9,14.1,11.1,9.3,0.7,1.2,17.7,13.8,,-0.1,0.2,0.1,0.022,,-6.5,-1.1,-7.6,-0.3
13,Cole Anthony\anthoco01,PG,22,ORL,60,1552,16.0,0.57,0.338,0.279,3.4,17.6,10.5,22.9,1.2,1.9,11.7,21.5,,2.1,1.7,3.7,0.116,,0.7,0.5,1.2,1.3
14,OG Anunoby\anunoog01,SF,25,TOR,67,2386,14.6,0.586,0.415,0.189,4.2,12.1,7.9,8.0,2.7,2.0,12.1,19.5,,1.8,2.9,4.7,0.094,,-0.3,0.7,0.4,1.5
15,Ryan Arcidiacono\arcidry01,PG,28,TOT,20,172,2.7,0.351,0.622,0.0,0.0,10.0,5.0,16.9,1.4,0.0,15.9,11.1,,-0.2,0.1,-0.2,-0.043,,-7.3,-1.5,-8.8,-0.3
15,Ryan Arcidiacono\arcidry01,PG,28,NYK,11,26,3.1,0.3,0.6,0.0,0.0,17.0,8.4,9.3,3.8,0.0,16.7,9.9,,0.0,0.0,0.0,-0.012,,-8.9,3.8,-5.1,0.0
15,Ryan Arcidiacono\arcidry01,PG,28,POR,9,146,2.6,0.359,0.625,0.0,0.0,8.7,4.3,18.3,1.0,0.0,15.8,11.3,,-0.2,0.0,-0.1,-0.049,,-7.0,-2.4,-9.4,-0.3
16,Deni Avdija\avdijde01,SF,22,WAS,76,2020,11.2,0.535,0.401,0.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,,0.0,2.3,2.3,0.054,,-2.8,0.5,-2.3,-0.1
17,Deandre Ayton\aytonde01,C,24,PHO,67,2035,19.9,0.617,0.027,0.225,9.2,27.5,18.1,9.2,0.9,2.3,11.0,22.9,,3.3,3.0,6.2,0.147,,0.9,0.0,0.9,1.5
18,Udoka Azubuike\azubuud01,C,23,UTA,36,359,16.1,0.774,0.0,0.278,9.5,26.1,17.9,4.3,0.8,3.5,18.2,11.5,,0.6,0.4,1.0,0.134,,-1.2,0.5,-0.6,0.1
19,Marvin Bagley III\baglema01,C,23,DET,42,990,17.2,0.587,0.173,0.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,,1.3,0.7,2.0,0.095,,0.3,-1.2,-0.9,0.3
20,Patrick Baldwin Jr.\baldwpa01,SF,20,GSW,31,226,11.3,0.546,0.771,0.055,0.5,18.6,9.7,6.9,1.3,1.6,9.0,22.8,,-0.1,0.3,0.1,0.029,,-0.7,-1.4,-2.1,0.0
21,LaMelo Ball\ballla01,PG,21,CHO,36,1268,17.9,0.541,0.531,0.169,3.5,16.2,9.7,38.7,1.7,0.8,14.3,30.0,,0.6,1.2,1.8,0.068,,3.2,-0.8,2.4,1.4
22,Mo Bamba\bambamo01,C,24,TOT,49,769,15.7,0.602,0.515,0.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,,1.1,1.1,2.2,0.139,,-0.2,0.7,0.5,0.5
22,Mo Bamba\bambamo01,C,24,ORL,40,681,16.3,0.613,0.505,0.238,7.8,22.8,15.3,9.0,0.9,5.4,8.5,16.3,,1.2,0.9,2.1,0.15,,0.4,0.9,1.3,0.6
22,Mo Bamba\bambamo01,C,24,LAL,9,88,11.4,0.518,0.593,0.407,13.9,35.3,24.9,6.0,0.5,4.8,20.1,19.1,,-0.1,0.2,0.1,0.054,,-5.3,-0.2,-5.5,-0.1
23,Paolo Banchero\banchpa01,PF,20,ORL,72,2430,14.9,0.529,0.254,0.476,3.9,19.3,11.6,17.2,1.2,1.5,12.8,27.5,,-0.3,2.6,2.4,0.047,,-0.7,-0.7,-1.5,0.3
24,Desmond Bane\banede01,SG,24,MEM,58,1841,19.1,0.606,0.433,0.218,2.5,14.3,8.4,20.8,1.4,1.1,10.9,26.1,,3.5,2.3,5.8,0.151,,3.3,0.1,3.5,2.5
25,Dalano Banton\bantoda01,PG,23,TOR,31,279,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,,0.0,0.4,0.4,0.064,,-1.1,0.6,-0.5,0.1
26,Dominick Barlow\barlodo01,PF,19,SAS,28,408,12.4,0.567,0.047,0.291,11.9,15.6,13.7,7.6,1.2,3.8,13.4,11.3,,0.5,0.2,0.7,0.082,,-3.7,-0.8,-4.6,-0.3
27,Harrison Barnes\barneha02,PF,30,SAC,82,2662,14.1,0.632,0.446,0.522,3.8,11.9,7.9,6.3,1.0,0.3,8.1,17.1,,5.1,1.4,6.5,0.118,,0.5,-1.5,-1.0,0.7
28,Scottie Barnes\barnesc01,SF,21,TOR,77,2678,15.5,0.524,0.22,0.242,7.1,15.2,10.8,20.0,1.5,2.2,12.0,20.3,,2.3,2.7,5.0,0.09,,0.5,-0.1,0.4,1.6
29,RJ Barrett\barrerj01,SG,22,NYK,73,2475,12.9,0.531,0.332,0.333,2.7,13.7,8.2,12.4,0.6,0.6,10.8,26.2,,0.5,1.8,2.2,0.043,,-1.2,-1.9,-3.1,-0.7
30,Will Barton\bartowi01,SG,32,TOT,56,993,10.0,0.493,0.495,0.129,1.7,13.5,7.7,15.4,1.4,1.1,11.1,18.9,,-0.4,0.8,0.4,0.021,,-2.0,-0.6,-2.6,-0.2
30,Will Barton\bartowi01,SG,32,WAS,40,782,10.0,0.504,0.484,0.158,1.5,13.8,7.9,16.5,1.1,1.1,12.9,19.4,,-0.4,0.6,0.2,0.013,,-1.7,-0.9,-2.7,-0.1
30,Will Barton\bartowi01,SG,32,TOR,16,211,9.9,0.451,0.532,0.025,2.5,12.2,7.0,11.0,2.6,1.4,3.6,16.7,,0.0,0.2,0.2,0.051,,-2.9,0.5,-2.5,0.0
