Seed,Team,Record
1,Oklahoma City Thunder,68-14
2,Cleveland Cavaliers,64-18
3,Boston Celtics,61-21
4,Houston Rockets,52-30
5,New York Knicks,51-31
6,Denver Nuggets,50-32
7,Indiana Pacers,50-32
8,Los Angeles Clippers,50-32
9,Los Angeles Lakers,50-32
10,Minnesota Timberwolves,49-33
11,Golden State Warriors,48-34
12,Memphis Grizzlies,48-34
13,Milwaukee Bucks,48-34
14,Detroit Pistons,44-38
15,Orlando Magic,41-41
16,Atlanta Hawks,40-42
17,Sacramento Kings,40-42
18,Chicago Bulls,39-43
19,Dallas Mavericks,39-43
20,Miami Heat,37-45
21,Phoenix Suns,36-46
22,Portland Trail Blazers,36-46
23,San Antonio Spurs,34-48
24,Toronto Raptors,30-52
25,Brooklyn Nets,26-56
26,Philadelphia 76ers,24-58
27,New Orleans Pelicans,21-61
28,Charlotte Hornets,19-63
29,Washington Wizards,18-64
30,Utah Jazz,17-65
